名称,创建时间,标签,编号
鸟蛋,2026年2月1日 15:13,食材,100062
杏仁,2026年2月1日 15:14,食材,100089
咖啡豆,2026年2月1日 15:15,食材,100098
面粉,2026年2月1日 15:15,食材,110001
原素花蜜,2026年2月1日 15:25,培养素材,112040
骗骗花蜜,2026年2月1日 15:29,培养素材,112038
微光花蜜,2026年2月1日 15:29,培养素材,112039
未能达成超越之水,2026年2月1日 15:30,世界boss素材,113057
「正义」的教导,2026年2月1日 15:31,天赋素材,104341
「正义」的指引,2026年2月1日 15:33,天赋素材,104342
「正义」的哲学,2026年2月1日 15:34,天赋素材,104343
无光质块,2026年2月1日 15:39,周本素材,113056
湖光铃兰,2026年2月1日 15:47,地区特产,101238
兽肉,2026年2月1日 16:36,食材,100061
洋葱,2026年2月1日 16:44,食材,100076
秃秃豆,2026年2月1日 16:45,食材,100096
番茄,2026年2月1日 16:48,食材,100079
稚嫩的尖齿,2026年2月1日 16:51,培养素材,112101
老练的坚齿,2026年2月1日 16:51,培养素材,112101
横行霸者的利齿,2026年2月1日 16:53,培养素材,112101
过熟的火榴果,2026年2月1日 16:54,世界boss素材,113065
「焚燔」的教导,2026年2月1日 16:54,天赋素材,104350
「焚燔」的指引,2026年2月1日 16:55,天赋素材,104351
「焚燔」的哲学,2026年2月1日 16:56,天赋素材,104352
否定裁断,2026年2月1日 16:57,周本素材,113062
肉龙掌,2026年2月1日 16:58,地区特产,101250
虾仁,2026年2月1日 17:11,食材,100093
颗粒果,2026年2月1日 17:11,食材,101243
奶酪,2026年2月1日 17:13,食材,110009
谜土的护符,2026年2月1日 17:15,世界boss素材,113071
青蜜莓,2026年2月1日 17:15,地区特产,101249
禽肉,2026年2月1日 17:53,食材,100064
泡泡橘,2026年2月1日 17:54,"食材, 食物",101230
异海凝珠,2026年2月1日 17:58,培养素材,112080
异色结晶石,2026年2月1日 17:58,培养素材,112082
异海之块,2026年2月1日 17:58,培养素材,112081
原海麟角,2026年2月1日 17:58,世界boss素材,113053
幽光星星,2026年2月1日 17:58,地区特产,101237
亘古树海之一瞬,2026年2月1日 17:58,周本素材,113048
土豆,2026年2月1日 18:08,食材,100080
鱼肉,2026年2月1日 18:08,食材,100084
卫从的木哨,2026年2月1日 18:11,培养素材,112104
战士的铁哨,2026年2月1日 18:11,培养素材,112105
龙冠武士的金哨,2026年2月1日 18:11,培养素材,112106
秘刻金纹的源核,2026年2月1日 18:11,世界boss素材,113066
「角逐」的指引,2026年2月1日 18:11,天赋素材,104348
「角逐」的教导,2026年2月1日 18:11,天赋素材,104347
蚀灭的灵犀,2026年2月1日 18:11,周本素材,113068
「角逐」的哲学,2026年2月1日 18:11,天赋素材,104349
枯叶紫英,2026年2月1日 18:11,地区特产,101253
金鱼草,2026年2月1日 18:43,食材,100015
牛奶,2026年2月1日 18:43,食材,100078
稻米,2026年2月1日 18:43,食材,100092
绯樱绣球,2026年2月1日 18:43,食材,101202
导能绘卷,2026年2月1日 20:24,培养素材,112008
封魔绘卷,2026年2月1日 20:26,培养素材,112009
禁咒绘卷,2026年2月1日 20:26,培养素材,112010
阴燃之珠,2026年2月1日 20:26,世界boss素材,113024
「浮世」的教导,2026年2月1日 20:26,天赋素材,104320
「浮世」的指引,2026年2月1日 20:26,天赋素材,104321
鸣草,2026年2月1日 20:26,地区特产,101205
「浮世」的哲学,2026年2月1日 20:26,天赋素材,104322
龙王之冕,2026年2月1日 20:26,周本素材,113017
鸣神御灵的明惠,2026年2月1日 21:11,武器突破素材,114029
鸣神御灵的欢喜,2026年2月1日 21:11,武器突破素材,114030
鸣神御灵的勇武,2026年2月1日 21:11,武器突破素材,114032
鸣神御灵的亲爱,2026年2月1日 21:11,武器突破素材,114031
黯淡棱镜,2026年2月1日 21:11,培养素材,112050
水晶棱镜,2026年2月1日 21:11,培养素材,112051
牢固的箭簇,2026年2月1日 21:12,培养素材,112011
锐利的箭簇,2026年2月1日 21:12,培养素材,112012
历战的箭簇,2026年2月1日 21:12,培养素材,112013
偏光棱镜,2026年2月1日 21:15,培养素材,112052
纯圣露滴的滤渣,2026年2月1日 21:50,武器突破素材,114053
纯圣露滴的凝华,2026年2月1日 21:51,武器突破素材,114054
纯圣露滴的醴泉,2026年2月1日 21:51,武器突破素材,114055
纯圣露滴的真粹,2026年2月1日 21:51,武器突破素材,114056
浊水的一滴,2026年2月1日 21:51,培养素材,112086
浊水的一掬,2026年2月1日 21:51,培养素材,112087
初生的浊水幻灵,2026年2月1日 21:51,培养素材,112088
悠古弦音的残章,2026年2月1日 22:10,武器突破素材,114049
悠古弦音的乐章,2026年2月1日 22:10,武器突破素材,114051
悠古弦音的断章,2026年2月1日 22:10,武器突破素材,114050
役人的制式怀表,2026年2月1日 22:10,培养素材,112093
老旧的役人怀表,2026年2月1日 22:10,培养素材,112092
悠古弦音的回响,2026年2月1日 22:10,武器突破素材,114052
啮合齿轮,2026年2月1日 22:10,培养素材,112083
役人的时时刻刻,2026年2月1日 22:10,培养素材,112094
奇械机芯齿轮,2026年2月1日 22:10,培养素材,112085
机关正齿轮,2026年2月1日 22:10,培养素材,112084
贡祭炽心的惶恐,2026年2月1日 22:22,武器突破素材,114061
贡祭炽心的决绝,2026年2月1日 22:22,武器突破素材,114063
贡祭炽心的踌躇,2026年2月1日 22:22,武器突破素材,114062
贡祭炽心的荣膺,2026年2月1日 22:22,武器突破素材,114064
秘源机鞘,2026年2月1日 22:22,培养素材,112114
秘源轴,2026年2月1日 22:22,培养素材,112113
秘源真芯,2026年2月1日 22:22,培养素材,112115
谵妄圣主的朽败,2026年2月1日 22:30,武器突破素材,114065
谵妄圣主的容光,2026年2月1日 22:30,武器突破素材,114067
谵妄圣主的余哀,2026年2月1日 22:30,武器突破素材,114066
谵妄圣主的神面,2026年2月1日 22:30,武器突破素材,114068
意志破碎的残片,2026年2月1日 22:30,培养素材,112107
意志明晰的寄偶,2026年2月1日 22:30,培养素材,112108
意志巡游的符像,2026年2月1日 22:30,培养素材,112109
聚燃的石块,2026年2月2日 20:13,培养素材,112110
聚燃的命种,2026年2月2日 20:13,培养素材,112111
聚燃的游像眼,2026年2月2日 20:13,培养素材,112112
宿影花,2026年2月2日 22:09,食材,101262
白灵果,2026年2月2日 22:09,食材,101264
夏槲果,2026年2月2日 22:09,食材,101265
黑麦,2026年2月2日 22:09,食材,101268
史莱姆凝液,2026年2月2日 22:14,培养素材,112002
史莱姆清,2026年2月2日 22:14,培养素材,112003
史莱姆原浆,2026年2月2日 22:14,培养素材,112004
漫光的辉角,2026年2月2日 22:14,世界boss素材,113079
「月光」的指引,2026年2月2日 22:14,天赋素材,104357
「月光」的教导,2026年2月2日 22:14,天赋素材,104356
「月光」的哲学,2026年2月2日 22:14,天赋素材,104358
贤医的假面,2026年2月2日 22:14,周本素材,113081
冬凌草,2026年2月2日 22:14,"地区特产, 食材",101266
终北遗嗣的哀荣,2026年2月2日 22:28,武器突破素材,114081
终北遗嗣的迷顽,2026年2月2日 22:28,武器突破素材,114082
终北遗嗣的祷献,2026年2月2日 22:28,武器突破素材,114083
终北遗嗣的煌熠,2026年2月2日 22:28,武器突破素材,114084
深黯的裂眼,2026年2月2日 22:28,培养素材,112137
深黯的钩喙,2026年2月2日 22:28,培养素材,112139
深黯的怪核,2026年2月2日 22:28,培养素材,112138
磨损的执凭,2026年2月2日 22:28,培养素材,112125
霜镌的执凭,2026年2月2日 22:28,培养素材,112127
精致的执凭,2026年2月2日 22:40,培养素材,112125
